customer_id,fname,lname,segment,country,city,state,street,zipcode
20755,Cally,Holloway,Consumer,Puerto Rico,Caguas,PR,5365 Noble Nectar Island,725.0
19492,Irene,Luna,Consumer,Puerto Rico,Caguas,PR,2679 Rustic Loop,725.0
19491,Gillian,Maldonado,Consumer,EE. UU.,San Jose,CA,8510 Round Bear Gate,95125.0
19490,Tana,Tate,Home Office,EE. UU.,Los Angeles,CA,3200 Amber Bend,90027.0
19489,Orli,Hendricks,Corporate,Puerto Rico,Caguas,PR,8671 Iron Anchor Corners,725.0
19488,Kimberly,Flowers,Consumer,EE. UU.,Tonawanda,NY,2122 Hazy Corner,14150.0
19487,Constance,Terrell,Home Office,Puerto Rico,Caguas,PR,1879 Green Pine Bank,725.0
19486,Erica,Stevens,Corporate,EE. UU.,Miami,FL,7595 Cotton Log Row,33162.0
19485,Nichole,Olsen,Corporate,Puerto Rico,Caguas,PR,2051 Dusty Route,725.0
19484,Oprah,Delacruz,Corporate,EE. UU.,San Ramon,CA,9139 Blue Blossom Court,94583.0
19483,Germane,Short,Corporate,Puerto Rico,Caguas,PR,4058 Quiet Heights,725.0
19482,Freya,Robbins,Consumer,EE. UU.,Freeport,NY,3243 Shady Corner,11520.0
19481,Cassandra,Jensen,Corporate,EE. UU.,Salinas,CA,131 Sunny Treasure Green,93905.0
19480,Natalie,Mcfadden,Corporate,Puerto Rico,Caguas,PR,2531 Wishing Square,725.0
19479,Kimberley,Sharpe,Corporate,EE. UU.,Peabody,MA,6417 Silver Towers,1960.0
19478,Sade,Lancaster,Corporate,Puerto Rico,Caguas,PR,257 Harvest Close,725.0
19477,Brynne,Giles,Corporate,Puerto Rico,Canovanas,PR,7342 Hazy Beacon Park,729.0
19476,Ciara,Bird,Corporate,EE. UU.,Paramount,CA,7787 Lazy Corners,90723.0
19475,Bo,Griffin,Consumer,Puerto Rico,Caguas,PR,5136 Rustic Pioneer Estates,725.0
19474,Kim,Simon,Consumer,EE. UU.,Mount Prospect,IL,1723 Tawny Via,60056.0
19473,Kellie,Farmer,Corporate,EE. UU.,Long Beach,CA,7111 Silent Fox Gardens,90813.0
19472,Alma,Conley,Corporate,Puerto Rico,Caguas,PR,3732 Old Mountain Bank,725.0
19471,Yeo,Bird,Corporate,EE. UU.,Rancho Cordova,CA,6217 Rustic Lake Forest,95670.0
19470,Lucy,Mcknight,Corporate,Puerto Rico,Caguas,PR,1082 Quiet Treasure Link,725.0
19469,Simone,Vance,Corporate,EE. UU.,Billings,MT,3176 Round Gate,59102.0
19468,Roary,Wheeler,Corporate,Puerto Rico,Caguas,PR,1426 Fallen Line,725.0
19467,Quail,Ashley,Consumer,EE. UU.,Wilkes Barre,PA,9814 Emerald Prairie Limits,18702.0
19466,Hannah,Velez,Corporate,Puerto Rico,Caguas,PR,8271 Tawny Elk Abbey,725.0
19465,Evelyn,Kelly,Corporate,EE. UU.,Roseville,MI,3931 Gentle Ramp,48066.0
19464,Jael,Mcfarland,Consumer,EE. UU.,Bellflower,CA,9699 Honey Rise,90706.0
19463,Teagan,Romero,Consumer,Puerto Rico,Caguas,PR,1564 Rocky Terrace,725.0
19462,Joan,Wilder,Consumer,EE. UU.,Wheaton,IL,4294 High Passage,60187.0
19461,Basia,Watts,Consumer,Puerto Rico,Caguas,PR,5918 Golden Beacon Freeway,725.0
19460,Dominique,Rogers,Consumer,EE. UU.,Detroit,MI,3915 Broad Lookout,48238.0
19459,Ainsley,Mathis,Consumer,EE. UU.,Dallas,TX,7190 Silver Horse Glade,75220.0
19458,Aurora,Sharp,Corporate,Puerto Rico,Caguas,PR,830 Broad Beacon Maze,725.0
19457,Libby,Bray,Corporate,EE. UU.,Carlisle,PA,6127 Dewy Goose Downs,17013.0
19456,Amy,Lindsay,Corporate,EE. UU.,Dallas,TX,1188 Old Abbey,75228.0
19455,Ivory,Parks,Consumer,Puerto Rico,Caguas,PR,7004 Hazy Lake Townline,725.0
19454,Karina,Prince,Consumer,EE. UU.,Newark,DE,2556 Umber Autoroute,19702.0
19453,Deanna,Goff,Consumer,EE. UU.,Panorama City,CA,3722 Thunder Cape,91402.0
19452,Dacey,Walters,Home Office,Puerto Rico,Caguas,PR,2676 Velvet Common,725.0
19451,Adele,Pennington,Home Office,EE. UU.,Atlanta,GA,833 Amber Anchor Glen,30318.0
19450,Sybill,Spencer,Home Office,Puerto Rico,Caguas,PR,830 Quaking Bear Grounds,725.0
19449,Kay,Sandoval,Consumer,EE. UU.,Fremont,CA,1509 Middle Oak Isle,94539.0
19448,Stacy,Mckinney,Corporate,Puerto Rico,Caguas,PR,9712 Fallen Robin Diversion,725.0
19447,Marah,Lara,Corporate,EE. UU.,Rochester,NY,8665 Sunny Deer Woods,14609.0
19446,Taylor,Wood,Corporate,EE. UU.,Dallas,TX,9879 Harvest Deer Farms,75211.0
9083,Mary,Frank,Home Office,Puerto Rico,Bayamon,PR,75 Sunny Grounds,957.0
4741,Mary,Smith,Home Office,Puerto Rico,Caguas,PR,9731 Honey Fox Towers,725.0
639,Elizabeth,Pittman,Home Office,Puerto Rico,Caguas,PR,7573 Golden Treasure Centre,725.0
9702,Katherine,Tyler,Home Office,Puerto Rico,Caguas,PR,8369 Sunny Crossing,725.0
9114,Mary,Smith,Home Office,Puerto Rico,Caguas,PR,1425 Fallen Fox Arbor,725.0
1362,Dennis,Smith,Home Office,Puerto Rico,Caguas,PR,2290 Crystal Pathway,725.0
8011,Mary,Hill,Home Office,Puerto Rico,Caguas,PR,6179 Noble Panda Moor,725.0
3296,Mary,Smith,Home Office,Puerto Rico,Caguas,PR,8205 Silver Grove Row,725.0
3182,Frances,Smith,Home Office,Puerto Rico,Caguas,PR,7786 Middle Private,725.0
7864,Alice,Smith,Home Office,Puerto Rico,Caguas,PR,4294 High Passage,725.0
11169,Kyle,Thomas,Home Office,Puerto Rico,Caguas,PR,5274 Easy Beach,725.0
5197,Brenda,Jordan,Home Office,Puerto Rico,Caguas,PR,4692 Jagged Thicket,725.0
1535,Frank,Livingston,Home Office,Puerto Rico,Caguas,PR,5161 Crystal Quail Jetty,725.0
6122,Johnny,Smith,Home Office,Puerto Rico,Caguas,PR,1465 Round Fawn Passage,725.0
9451,Mary,Smith,Home Office,Puerto Rico,Caguas,PR,5723 Cinder Loop,725.0
542,Mary,Smith,Home Office,Puerto Rico,Caguas,PR,2991 Silent Deer Landing,725.0
11329,Hannah,Smith,Home Office,Puerto Rico,Caguas,PR,5086 Emerald Fox Farms,725.0
3570,Mary,Nelson,Home Office,Puerto Rico,Caguas,PR,3909 Hidden Treasure Beach,725.0
650,Austin,Sexton,Home Office,Puerto Rico,Caguas,PR,4691 Cinder Crest,725.0
9353,Michael,Scott,Home Office,Puerto Rico,Caguas,PR,5703 Tawny Creek Townline,725.0
54,Mary,Olson,Home Office,Puerto Rico,Caguas,PR,7333 Cinder Way,725.0
12151,Vincent,Krueger,Home Office,Puerto Rico,Caguas,PR,9404 Heather Bluff Dale,725.0
10018,Gregory,Rodriguez,Home Office,Puerto Rico,Caguas,PR,1632 Green Fawn Corners,725.0
4936,Kyle,Smith,Home Office,Puerto Rico,Caguas,PR,8344 Noble Mountain Gate,725.0
8707,Lisa,Smith,Home Office,Puerto Rico,Caguas,PR,7208 Bright Landing,725.0
1025,Megan,Todd,Home Office,Puerto Rico,Caguas,PR,1393 Umber Sky Estates,725.0
8831,Mary,Smith,Home Office,Puerto Rico,Caguas,PR,8165 Red Lane,725.0
10679,Mary,Smith,Home Office,Puerto Rico,Caguas,PR,331 Grand Orchard,725.0
5007,Mary,Smith,Home Office,Puerto Rico,Caguas,PR,2264 Thunder Abbey,725.0
9854,Mary,Smith,Home Office,Puerto Rico,Caguas,PR,9082 Merry Lookout,725.0
376,Grace,Sanchez,Home Office,Puerto Rico,Caguas,PR,6468 Fallen Close,725.0
5417,Dennis,Meyer,Home Office,Puerto Rico,Caguas,PR,7342 Hidden Walk,725.0
10759,Douglas,Smith,Home Office,Puerto Rico,Caguas,PR,577 Rustic Nectar Row,725.0
8541,Mary,Smith,Home Office,Puerto Rico,Caguas,PR,5700 Little Circle,725.0
3752,Mary,Vega,Home Office,Puerto Rico,Caguas,PR,7840 Umber Sky Villas,725.0
4673,Wayne,Hodges,Home Office,Puerto Rico,Caguas,PR,7509 Iron Concession,725.0
5367,Mary,Mccormick,Home Office,Puerto Rico,Caguas,PR,2199 Silver Autumn Key,725.0
10485,Mary,Smith,Home Office,Puerto Rico,Caguas,PR,9470 Shady View Bend,725.0
9272,Ronald,Blackwell,Home Office,Puerto Rico,Caguas,PR,9366 Silent Nectar Highway,725.0
647,Mary,Rios,Consumer,Puerto Rico,Caguas,PR,4167 Stony Extension,725.0
6398,Tammy,Smith,Consumer,Puerto Rico,Caguas,PR,7370 Sleepy Way,725.0
4209,Mary,Lara,Consumer,Puerto Rico,Caguas,PR,1613 Broad Beach,725.0
8917,Mary,Smith,Consumer,Puerto Rico,Caguas,PR,4992 Jagged Forest Subdivision,725.0
7784,Mary,Smith,Consumer,Puerto Rico,Caguas,PR,3216 Red Glade,725.0
1425,Christina,Harvey,Consumer,Puerto Rico,Caguas,PR,3481 Crystal Campus,725.0
2737,Mary,Smith,Consumer,Puerto Rico,Caguas,PR,5424 Rustic Anchor Boulevard,725.0
6428,Mary,Smith,Consumer,Puerto Rico,Caguas,PR,3567 Heather Knoll,725.0
6543,Alexander,Smith,Consumer,Puerto Rico,Caguas,PR,7958 Thunder Apple Street,725.0
3990,Sandra,Smith,Consumer,Puerto Rico,Guayama,PR,6496 Harvest Highlands,784.0
8524,Ruth,Farrell,Consumer,Puerto Rico,Caguas,PR,1453 Lazy Cider Hill,725.0
9204,Mary,Harris,Consumer,Puerto Rico,Caguas,PR,8713 Quaking Abbey,725.0
11761,Lauren,Coleman,Consumer,Puerto Rico,Caguas,PR,1285 Noble Pointe,725.0
9554,Mary,Hayes,Consumer,Puerto Rico,Caguas,PR,6314 Honey Canyon,725.0
5118,Mary,Smith,Consumer,Puerto Rico,Caguas,PR,1388 Blue Turnabout,725.0
5506,Gregory,Smith,Consumer,Puerto Rico,Caguas,PR,1122 Old Fox Lookout,725.0
1423,Mary,Day,Consumer,Puerto Rico,Caguas,PR,257 Iron Elk Maze,725.0
138,Mary,Dawson,Consumer,Puerto Rico,Caguas,PR,9544 Noble Spring Route,725.0
6360,Mary,Phillips,Consumer,Puerto Rico,Caguas,PR,7094 Misty Wynd,725.0
2053,Ronald,Smith,Consumer,Puerto Rico,Caguas,PR,1025 Colonial Plaza,725.0
10344,Mary,Smith,Consumer,Puerto Rico,Juana Diaz,PR,2839 Grand Timber Canyon,795.0
